2021,Zhichang,Chen,7,0,0,7,0,0,14,218,64.89%,Bronze,medal
2021,Lukas,Das,7,0,0,0,2,0,9,332,46.44%,Honourable,mention
2021,Marie,Determe,7,0,0,0,0,0,7,372,39.97%,Honourable,mention
2021,Emilhan,Dürrüoglu,4,1,0,0,7,0,12,290,53.24%,Bronze,medal
2021,Olivier,,Fays,7,0,0,1,0,0,8,348,43.85%,Honourable,mention
2021,Brecht,Verbeken,7,0,0,4,7,0,18,156,74.92%,Bronze,medal
2020,Zhichang,Chen,7,7,0,0,1,0,15,294,52.36%,Bronze,medal
2020,Daniel,Cortild,7,0,0,4,7,1,19,236,61.79%,Bronze,medal
2020,Jonas,De,Schouwer,7,7,4,7,1,0,26,121,80.49%,Silver,medal
2020,Emilhan,Dürrüoglu,7,2,0,0,1,0,10,384,37.72%,Honourable,mention
2020,Olivier,Fays,5,0,0,4,0,0,9,395,35.93%
2020,Amos,Nicodemus,1,2,3,7,7,0,20,227,63.25%,Bronze,medal
2019,Tijs,Buggenhout,7,6,0,7,7,0,27,101,83.87%,Silver,medal
2019,Quentin,Claus,7,0,0,1,0,0,8,444,28.55%,Honourable,mention
2019,Daniel,Cortild,7,2,0,0,2,0,11,386,37.90%,Honourable,mention
2019,Jonas,De,Schouwer,3,0,0,7,0,0,10,402,35.32%,Honourable,mention
2019,Louis,Olyslager,0,1,0,1,0,0,2,523,15.81%
2019,Marie,Peeters,7,1,0,7,2,0,17,275,55.81%,Bronze,medal
2018,Tijs,Buggenhout,7,5,0,2,0,0,14,307,48.40%,Honourable,mention
2018,Daniel,Cortild,3,0,0,2,3,1,9,391,34.23%
2018,Flor,De,Bock,7,3,0,5,1,0,16,271,54.47%,Bronze,medal
2018,Simon,Lemal,4,3,0,7,4,2,20,204,65.77%,Bronze,medal
2018,Marie,Peeters,7,3,0,5,1,0,16,271,54.47%,Bronze,medal
2018,Lukas,Vandeputte,7,2,0,7,1,0,17,250,58.01%,Bronze,medal
2017,Rodrigue,Haya,Enriquez,7,2,0,7,0,1,17,188,69.54%,Bronze,medal
2017,Savinien,Kreczman,7,7,0,6,0,0,20,103,83.39%,Silver,medal
2017,Michaël,Maex,7,1,0,1,0,0,9,471,23.45%,Honourable,mention
2017,Marie,Peeters,7,3,0,2,2,0,14,342,44.46%,Honourable,mention
2017,Robbe,Pincket,4,0,0,0,0,0,4,555,9.77%
2017,Indy,Van,Den,Broeck,7,1,0,7,1,0,16,265,57.00%,Bronze,medal
2016,Wouter,Andriessen,4,2,0,2,0,0,8,429,28.79%
2016,Damien,Galant,7,1,0,7,2,0,17,224,62.90%,Bronze,medal
2016,Rodrigue,Haya,Enriquez,4,0,0,4,2,1,11,379,37.10%
2016,Savinien,Kreczman,7,1,0,7,0,2,17,224,62.90%,Bronze,medal
2016,Samira,Le,Grand,5,0,0,7,0,0,12,368,38.94%,Honourable,mention
2016,Tim,Santens,1,7,2,7,0,0,17,224,62.90%,Bronze,medal
2015,Wouter,Andriessen,7,0,0,2,1,0,10,337,41.67%,Honourable,mention
2015,Corentin,Bodart,6,1,0,0,1,1,9,365,36.81%
2015,Pablo,Bustillo,Vazquez,7,1,0,7,3,2,20,101,82.64%,Silver,medal
2015,Savinien,Kreczman,7,2,0,0,3,0,12,307,46.88%,Honourable,mention
2015,Simon,Roelandt,3,1,0,2,0,0,6,431,25.35%
2015,Art,Waeterschoot,1,1,1,7,0,0,10,337,41.67%,Honourable,mention
2014,Corentin,Bodart,7,0,0,2,0,0,9,404,27.91%,Honourable,mention
2014,Pablo,Bustillo,Vazquez,7,6,0,7,2,0,22,124,78.00%,Silver,medal
2014,Antoine,Dupuis,4,0,0,7,2,0,13,361,35.60%,Honourable,mention
2014,Jef,Laga,7,0,0,7,0,0,14,321,42.75%,Honourable,mention
2014,Klaas,Parmentier,7,1,0,1,0,0,9,404,27.91%,Honourable,mention
2014,Jeroen,Van,Hautte,7,0,0,3,0,0,10,387,30.95%,Honourable,mention
