2021,Ruitao,Chen,7,2,1,7,7,7,31,17,97.41%,Gold,medal
2021,Chenxu,Feng,7,2,1,7,7,7,31,17,97.41%,Gold,medal
2021,Yebo,Peng,7,1,7,7,7,7,36,3,99.68%,Gold,medal
2021,Yichuan,Wang,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2021,Chen,Wei,7,1,7,7,7,7,36,3,99.68%,Gold,medal
2021,Yuxing,Xia,7,3,1,7,7,7,32,15,97.73%,Gold,medal
2020,Xinmiao,Han,7,7,7,7,7,5,40,2,99.84%,Gold,medal
2020,Jinmin,Li,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2020,Jingxun,Liang,7,7,7,7,7,1,36,4,99.51%,Gold,medal
2020,Rui,Rao,7,7,3,7,7,0,31,43,93.17%,Gold,medal
2020,Binwei,Yan,7,7,0,7,7,1,29,59,90.57%,Silver,medal
2020,Jia,Yi,7,3,7,7,7,6,37,3,99.67%,Gold,medal
2019,Mingyang,Deng,7,6,7,7,7,1,35,18,97.26%,Gold,medal
2019,Sulin,Hu,7,7,4,7,7,7,39,10,98.55%,Gold,medal
2019,Jiajun,Huang,6,7,1,6,7,7,34,28,95.65%,Gold,medal
2019,Baiting,Xie,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2019,Ranfeng,Yu,6,7,1,7,7,7,35,18,97.26%,Gold,medal
2019,Zhizhen,Yuan,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2018,Yiyi,Chen,7,7,2,7,7,7,37,9,98.65%,Gold,medal
2018,Yixiao,Li,7,7,7,7,7,0,35,12,98.15%,Gold,medal
2018,Zexuan,Ouyang,7,7,7,7,7,1,36,10,98.48%,Gold,medal
2018,Zeyu,Wang,7,2,1,7,7,7,31,34,94.44%,Gold,medal
2018,Rui,Yao,7,7,0,7,7,2,30,49,91.91%,Silver,medal
2018,Qi,Ye,7,7,0,7,7,2,30,49,91.91%,Silver,medal
2017,Tiancheng,He,7,4,0,7,0,7,25,36,94.30%,Gold,medal
2017,Yuanyang,Jiang,7,2,0,7,2,7,25,36,94.30%,Gold,medal
2017,Qiuyu,Ren,7,7,0,7,7,4,32,4,99.51%,Gold,medal
2017,Jinze,Wu,7,4,0,7,7,1,26,30,95.28%,Gold,medal
2017,Lu,Zhang,7,7,0,7,2,5,28,14,97.88%,Gold,medal
2017,Xingjian,Zhou,7,1,0,7,1,7,23,64,89.74%,Silver,medal
2016,Zeyu,Jia,7,7,0,7,7,3,31,23,96.34%,Gold,medal
2016,Lingjie,Mei,7,7,6,7,7,7,41,7,99.00%,Gold,medal
2016,Zhengqin,Song,7,2,0,7,7,3,26,68,88.85%,Silver,medal
2016,Yixuan,Wang,7,0,0,7,7,7,28,45,92.68%,Silver,medal
2016,Yuan,Yang,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2016,Shengtong,Zhang,7,7,7,7,7,1,36,9,98.67%,Gold,medal
2015,Jiyang,Gao,7,7,1,7,1,7,30,17,97.22%,Gold,medal
2015,Jiafan,He,7,7,1,7,2,7,31,10,98.44%,Gold,medal
2015,Nuozhou,Wang,7,2,1,7,7,7,31,10,98.44%,Gold,medal
2015,Zheng,Wang,7,6,1,7,2,0,23,58,90.10%,Silver,medal
2015,Changzhi,Xie,7,7,1,7,3,0,25,40,93.23%,Silver,medal
2015,Chenjie,Yu,7,7,7,7,7,6,41,2,99.83%,Gold,medal
2014,Lantian,Chen,7,7,1,7,7,0,29,40,93.02%,Gold,medal
2014,Jiyang,Gao,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2014,Yishan,Huang,7,7,1,7,0,0,22,124,78.00%,Silver,medal
2014,Hongming,Pu,7,7,7,7,7,3,38,7,98.93%,Gold,medal
2014,Renrui,Qi,7,7,0,7,7,7,35,15,97.50%,Gold,medal
2014,Yunkun,Zhou,7,7,0,7,7,7,35,15,97.50%,Gold,medal
2013,Chao,Gu,7,3,7,7,7,0,31,34,93.73%,Gold,medal
2013,Yuxuan,Liao,7,7,0,6,7,6,33,26,95.25%,Gold,medal
2013,Xiao,Liu,7,7,7,7,7,0,35,10,98.29%,Gold,medal
2013,Yutao,Liu,7,7,7,7,7,6,41,1,100.00%,Gold,medal
2013,Jiading,Rao,7,7,2,7,7,0,30,46,91.44%,Silver,medal
2013,Lingfu,Zhang,7,7,7,7,7,3,38,5,99.24%,Gold,medal
2012,Jingwen,Chen,7,7,0,7,7,7,35,11,98.17%,Gold,medal
2012,Yutao,Liu,7,5,0,2,3,1,18,163,70.33%,Bronze,medal
