2021,Ankit,Bisain,7,0,7,7,0,1,22,63,89.97%,Silver,medal
2021,Quanlin,Chen,7,1,1,7,7,0,23,53,91.59%,Silver,medal
2021,Maxim,Li,6,0,1,7,7,7,28,32,94.98%,Gold,medal
2021,Luke,Robitaille,7,1,7,7,7,7,36,3,99.68%,Gold,medal
2021,Noah,Walsh,6,0,0,7,7,7,27,41,93.53%,Gold,medal
2021,Zifan,Wang,7,0,1,7,7,7,29,24,96.28%,Gold,medal
2020,Quanlin,Chen,7,7,4,7,7,1,33,22,96.59%,Gold,medal
2020,Gopal,Goel,7,5,0,7,7,1,27,114,81.63%,Silver,medal
2020,Tianze,Jiang,7,7,0,7,7,1,29,59,90.57%,Silver,medal
2020,Jeffrey,Kwan,7,3,0,7,7,1,25,131,78.86%,Silver,medal
2020,Luke,Robitaille,7,7,7,7,7,1,36,4,99.51%,Gold,medal
2020,William,Wang,7,7,4,7,7,1,33,22,96.59%,Gold,medal
2019,Vincent,Huang,7,7,3,7,7,7,38,11,98.39%,Gold,medal
2019,Luke,Robitaille,7,6,2,7,7,6,35,18,97.26%,Gold,medal
2019,Colin,Shanmo,Tang,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2019,Edward,Wan,7,6,0,7,7,7,34,28,95.65%,Gold,medal
2019,Brandon,Wang,7,7,7,7,7,1,36,15,97.74%,Gold,medal
2019,Daniel,Zhu,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2018,Adam,Ardeishar,7,7,0,7,7,1,29,61,89.88%,Silver,medal
2018,Andrew,Gu,7,7,0,7,7,6,34,19,96.96%,Gold,medal
2018,Vincent,Huang,7,6,2,7,7,7,36,10,98.48%,Gold,medal
2018,James,Lin,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2018,Michael,Ren,7,7,0,7,7,3,31,34,94.44%,Gold,medal
2018,Mihir,Anand,Singhal,7,7,5,7,7,7,40,3,99.66%,Gold,medal
2017,Ankan,Bhattacharya,7,5,0,7,7,0,26,30,95.28%,Gold,medal
2017,Zachary,Chroman,7,2,0,7,1,7,24,49,92.18%,Silver,medal
2017,Andrew,Gu,7,4,0,7,7,1,26,30,95.28%,Gold,medal
2017,Vincent,Huang,7,4,0,7,1,1,20,103,83.39%,Silver,medal
2017,James,Lin,7,7,0,7,7,2,30,6,99.19%,Gold,medal
2017,Junyao,Peng,7,7,0,7,0,1,22,72,88.44%,Silver,medal
2016,Ankan,Bhattacharya,3,7,6,7,6,0,29,41,93.34%,Gold,medal
2016,Michael,Kural,6,7,1,7,7,3,31,23,96.34%,Gold,medal
